module,unit,word,part_of_speech,chinese_meaning,textbook_example,speaking_example
Unit 6,Understanding ideas,shower,n.,一大批，一阵,Ash began to fall in heavy showers.,A shower of leaves fell from the tree in the wind.
Unit 6,Understanding ideas,historical,adj.,（有关）历史的,Historical records can help you learn more about a historical disaster.,I like watching historical films about ancient China.
Unit 6,Understanding ideas,expert,n.,专家,Studies of experts can help you learn about a historical disaster.,My uncle is an expert on earthquakes.
Unit 6,Understanding ideas,timeline,n.,时间表,Complete the timeline with the words from the passage.,Let's make a timeline of the story first.
Unit 6,Understanding ideas,reaction,n.,反应,People's reactions: women were calling and children were crying.,What was your reaction when you heard the news?
Unit 6,Understanding ideas (Grammar),airline,n.,航空公司,"While the hurricane was blowing heavily, airlines could not fly in the area.",The airline cancelled all flights because of the storm.
Unit 6,Understanding ideas (Grammar),weekday,n.,工作日,"At first, it was just another normal weekday.",I get up at six on weekdays.
Unit 6,Understanding ideas (Grammar),railway,n.,铁路，铁道,I was waiting at the railway station when I heard a notice.,The new railway connects the two cities.
Unit 6,Understanding ideas (Grammar),rainstorm,n.,暴风雨,"There was a heavy rainstorm, so all train services were stopped.",Don't go out — there will be a rainstorm tonight.
Unit 6,Understanding ideas (Grammar),service,n.,（车、船等的）交通服务，班次,All train services were stopped.,The bus service stops at 11 pm.
Unit 6,Understanding ideas (Grammar),search,v.,寻找，搜索，搜寻,Others were calling their families or searching for news reports.,I searched the Internet for information about tsunamis.
Unit 6,Understanding ideas (Grammar),motherland,n.,祖国,"The music of ""Me and My Motherland"" stopped all the noise.",We all love our motherland.
Unit 6,Understanding ideas,terrible,adj.,剧烈的；厉害的；非常严重的,It was a terrible… (Useful expressions),It was a terrible earthquake — many houses fell down.
Unit 6,Developing ideas,danger,n.,危险,She sensed the danger and warned others.,Keep away from the river — it's full of danger after the flood.
Unit 6,Developing ideas,tsunami,n.,海啸,It's been many years since a tsunami happened in Italy.,A tsunami can move very fast across the sea.
Unit 6,Developing ideas,warning,n.,警告，警示,What do you know about disaster warnings?,The weather warning said a typhoon was coming.
Unit 6,Reading for writing,iron,adj./n.,极坚强的；铁,Iron girl (课文标题),She has an iron will and never gives up.
Unit 6,Reading for writing,fashion,n.,时装业,"During the 2021 Shanghai Fashion Week, a young woman drew everyone's attention.",My sister is really into fashion.
Unit 6,Reading for writing,slim,adj.,苗条的，修长的,"A young, slim and confident woman with an iron leg drew everyone's attention.",She stays slim by running every day.
Unit 6,Reading for writing,bleed,v.,流血，出血,"It wasn't comfortable, and her leg often bled.",My finger is bleeding — I need a plaster.
Unit 6,Reading for writing,uncomfortable,adj.,不舒服的,People's curious eyes made her even more uncomfortable.,These new shoes are really uncomfortable.
Unit 6,Reading for writing,jeans,n.,牛仔裤,She always tried to hide her leg under jeans or dresses.,I usually wear jeans and a T-shirt at weekends.
Unit 6,Reading for writing,encouraging,adj.,令人鼓舞的，振奋人心的,"To her surprise, she received lots of encouraging words.",My teacher's encouraging words made me feel confident.
Unit 6,Reading for writing,herself,pron.,她自己,She completed the hard 10-year journey of finding herself again.,She made this cake all by herself.
Unit 6,Reading for writing,university,n.,大学,She carried the torch at the FISU World University Games.,My cousin studies at a university in Beijing.
Unit 6,Reading for writing,honour,n.,荣幸，光荣,"""It is a great honour for me,"" she said.",It's an honour to speak for our class.
Unit 6,Reading for writing,wound,n.,伤痛，伤害,A disaster can bring wounds and pain.,Time can heal the wounds of the heart.
Unit 6,Reading for writing,heroine,n.,女主角，女主人公,"Above all, be the heroine of your life, not the victim.",Mulan is the heroine of the story.
